period,grade,auc,n_loans,default_rate
2015-08-01,A,0.6571,82,0.061
2015-08-01,B,0.4888,75,0.1733
2015-08-01,C,0.5544,66,0.197
2015-08-01,D,0.5715,78,0.2949
2015-08-01,E,0.7008,73,0.3425
2015-08-01,F,0.5808,78,0.4744
2015-08-01,G,0.5156,77,0.5455
2015-09-01,B,0.5447,60,0.15
2015-09-01,C,0.3805,65,0.1692
2015-09-01,D,0.57,52,0.25
2015-09-01,E,0.5464,61,0.3443
2015-09-01,F,0.509,60,0.4333
2015-09-01,G,0.3786,45,0.4
2015-10-01,A,0.768,105,0.0476
2015-10-01,B,0.6209,94,0.0957
2015-10-01,C,0.517,96,0.2396
2015-10-01,D,0.5356,96,0.3333
2015-10-01,E,0.4923,86,0.3837
2015-10-01,F,0.4357,103,0.3883
2015-10-01,G,0.5607,104,0.5577
2015-11-01,A,0.4773,68,0.0294
2015-11-01,B,0.459,77,0.1558
2015-11-01,C,0.6293,74,0.2162
2015-11-01,D,0.5517,61,0.2295
2015-11-01,E,0.5656,70,0.3714
2015-11-01,F,0.4736,60,0.45
2015-11-01,G,0.5906,62,0.5161
2015-12-01,A,0.3793,92,0.0543
2015-12-01,B,0.5282,87,0.2069
2015-12-01,C,0.4738,91,0.1868
2015-12-01,D,0.5027,103,0.301
2015-12-01,E,0.5833,102,0.4118
2015-12-01,F,0.6094,100,0.49
2015-12-01,G,0.5325,107,0.5514
2016-01-01,A,0.6698,224,0.0402
2016-01-01,B,0.4388,232,0.0819
2016-01-01,C,0.434,229,0.2009
2016-01-01,D,0.4993,225,0.2489
2016-01-01,E,0.5984,226,0.3363
2016-01-01,F,0.5295,225,0.44
2016-01-01,G,0.4999,128,0.4922
2016-02-01,A,0.5878,76,0.0263
2016-02-01,B,0.4937,83,0.0482
2016-02-01,C,0.5455,82,0.1951
2016-02-01,D,0.4092,80,0.2625
2016-02-01,E,0.4503,74,0.3514
2016-02-01,F,0.4877,83,0.4458
2016-02-01,G,0.566,84,0.4286
2016-03-01,A,0.6196,300,0.0567
2016-03-01,B,0.4692,285,0.1018
2016-03-01,C,0.4903,289,0.1972
2016-03-01,D,0.5807,295,0.2644
2016-03-01,E,0.5978,300,0.3733
2016-03-01,F,0.6106,292,0.4315
2016-03-01,G,0.579,253,0.4822
2016-04-01,A,0.6348,144,0.0903
2016-04-01,B,0.5464,134,0.1045
2016-04-01,C,0.6089,155,0.1871
2016-04-01,D,0.6235,150,0.2267
2016-04-01,E,0.5186,122,0.3852
2016-04-01,F,0.5376,122,0.4016
2016-04-01,G,0.5207,166,0.5241
2016-05-01,A,0.76,120,0.0667
2016-05-01,B,0.4761,120,0.1
2016-05-01,C,0.618,104,0.1827
2016-05-01,D,0.4702,116,0.2759
2016-05-01,E,0.4976,144,0.3333
2016-05-01,F,0.5408,124,0.4274
2016-05-01,G,0.5385,111,0.4144
2016-06-01,A,0.4462,136,0.0882
2016-06-01,B,0.6208,146,0.1918
2016-06-01,C,0.5372,141,0.2199
2016-06-01,D,0.5683,134,0.3134
2016-06-01,E,0.4573,134,0.4254
2016-06-01,F,0.5931,154,0.4351
2016-06-01,G,0.5013,123,0.4553
2016-07-01,A,0.7833,181,0.0387
2016-07-01,B,0.5904,164,0.128
2016-07-01,C,0.5077,189,0.254
2016-07-01,D,0.4618,186,0.2581
2016-07-01,E,0.5508,190,0.3421
2016-07-01,F,0.6008,183,0.5027
2016-07-01,G,0.6379,190,0.4053
2016-08-01,A,0.6599,120,0.0583
2016-08-01,B,0.5617,143,0.0839
2016-08-01,C,0.5022,115,0.2261
2016-08-01,D,0.4907,123,0.1951
2016-08-01,E,0.5802,112,0.3661
2016-08-01,F,0.5741,124,0.4516
2016-08-01,G,0.5502,120,0.4667
2016-09-01,A,0.7079,99,0.0404
2016-09-01,B,0.4712,93,0.1398
2016-09-01,C,0.5666,96,0.1771
2016-09-01,D,0.523,91,0.2527
2016-09-01,E,0.4414,98,0.2449
2016-09-01,F,0.5748,93,0.3656
2016-09-01,G,0.5621,90,0.4778
2016-10-01,A,0.5943,111,0.045
2016-10-01,B,0.3865,106,0.0755
2016-10-01,C,0.5353,126,0.1349
2016-10-01,D,0.5378,113,0.2655
2016-10-01,E,0.5221,109,0.2477
2016-10-01,F,0.6009,118,0.4237
2016-10-01,G,0.5412,120,0.45
2016-11-01,A,0.6763,116,0.0345
2016-11-01,B,0.7325,130,0.1231
2016-11-01,C,0.4886,103,0.1456
2016-11-01,D,0.5188,123,0.2033
2016-11-01,E,0.4685,113,0.3717
